VCF name,Binomial_probability,TP,FP,FN,Precision,Recall,F-Score
variant_call_results/binom_p0.5_variant_call.vcf,0.5,2816481,56334,63487,0.980390662120603,0.9779556578406426,0.9791716461406592
variant_call_results/binom_p0.6_variant_call.vcf,0.6,2870314,2501,9937,0.9991294253197648,0.9965499534589173,0.9978380223692896
variant_call_results/binom_p0.65_variant_call.vcf,0.65,2870314,2501,9937,0.9991294253197648,0.9965499534589173,0.9978380223692896
variant_call_results/binom_p0.7_variant_call.vcf,0.7,2870252,2574,9999,0.9991040181340604,0.9965284275571816,0.9978145607993774
variant_call_results/binom_p0.75_variant_call.vcf,0.75,2870082,2760,10164,0.999039278874369,0.9964711347572395,0.9977535542651182
variant_call_results/binom_p0.8_variant_call.vcf,0.8,2870364,2526,9876,0.9991207460083749,0.9965711190734106,0.9978443038832775
variant_call_results/binom_p0.85_variant_call.vcf,0.85,2870727,2206,9508,0.9992321435968051,0.9966988804732947,0.9979639044088405
variant_call_results/binom_p0.9_variant_call.vcf,0.9,2869455,3563,10770,0.9987598406971345,0.9962607087987918,0.9975087094357044
variant_call_results/binom_p0.95_variant_call.vcf,0.95,2865809,7328,14394,0.9974494776963299,0.9950024355922135,0.9962244539693464
variant_call_results/binom_p0.98_variant_call.vcf,0.98,2851340,22068,28760,0.9923199211528609,0.9900142356168189,0.9911657374944122
variant_call_results/binom_p0.99_variant_call.vcf,0.99,2832062,41660,47941,0.9855031210395439,0.9833538367841977,0.9844273057888585
